;DateTime;gps_Lat;gps_Long;DayOfWeek;T;S;V;V_m;V_r;FuelR;FuelR_r;FuelRate_std;V_std;Acc;Dcc;Acc_std;Acc_2;Idle_p;Acc_p;Cru_p;Cre_p;Dcc_p;V_i;V_f;File;cluster
0;2018-11-10 03:55:19;45.54571152;-73.65109253;5;400.0;241.9053819444444;2.1771484375;38.078125;14.514322916666664;8.4316250037975;8.538354434225317;6.591036381145557;6.558477154059129;0.3400848765432099;-0.2501370614035088;0.15650671842723404;0.025128917929566938;0.87;0.0875;0.005;0.8775;0.03;0.0;37.984375;ID_31823_20181110_104529;6
1;2018-11-10 04:02:29;45.54439163;-73.64994049;5;38.0;250.74652777777774;23.75493421052632;40.5625;24.396959459459463;19.355263107605268;22.98437494028125;16.096024244091538;14.557841798466198;0.5642361111111112;-0.6548713235294118;0.7813485795510556;0.5947948354184436;0.07894736842105263;0.5;0.10526315789473684;0.05263157894736842;0.34210526315789475;37.453125;40.5625;ID_31823_20181110_104529;4
2;2018-11-10 04:03:07;45.54342651;-73.64718628;5;21.0;255.09982638888889;43.73139880952381;44.421875;43.73139880952381;23.288095382857147;23.288095382857147;5.5929174792764025;0.7279408808188051;0.08246527777777778;-0.034102182539682536;0.08675645519421785;0.009070053863076863;0.0;0.2380952380952381;0.7619047619047619;0.0;0.0;41.46875;43.859375;ID_31823_20181110_104529;5
3;2018-11-10 04:03:28;45.54251862;-73.64420319;5;70.0;407.99045138888886;20.982366071428565;44.171875;21.921875;19.347857250257142;24.184821562821437;16.945123471909184;13.102197756896892;0.5519386574074074;-0.631103515625;0.7352018006414239;0.5328215745391041;0.08571428571428573;0.4571428571428571;0.07142857142857142;0.07142857142857142;0.4;43.921875;42.6875;ID_31823_20181110_104529;4
4;2018-11-10 04:04:38;45.54250336;-73.64068604;5;20.0;255.62934027777783;46.01328125;47.859375;46.01328125;15.2474999549;16.941666616555555;8.145639397302006;1.8478383182660487;0.11051014957264957;-0.2604166666666667;0.2323248122301549;0.05131568437741126;0.0;0.25;0.55;0.0;0.2;44.296875;42.234375;ID_31823_20181110_104529;2
5;2018-11-10 04:04:58;45.54444122;-73.63922882;5;45.0;242.36979166666663;19.389583333333334;42.453125;21.81328125;13.44666660124444;15.923684133052628;14.004627440834255;16.004856898327375;0.6003146701388891;-0.4717013888888889;0.6280577045312375;0.3880538207840363;0.17777777777777778;0.3111111111111111;0.13333333333333333;0.15555555555555556;0.4;42.453125;34.359375;ID_31823_20181110_104529;0
6;2018-11-10 04:05:43;45.54625702;-73.63755798;5;20.0;252.98611111111111;45.5375;51.046875;45.5375;24.2675001086;26.963889009555558;16.523844703029507;4.90473702786398;0.3090277777777778;-0.4435763888888888;0.3916219282860458;0.16031053331163192;0.0;0.7;0.05;0.0;0.25;35.859375;43.0625;ID_31823_20181110_104529;1
7;2018-11-10 04:06:03;45.54814529;-73.63589478;5;28.0;245.3125;31.54017857142857;47.78125;31.54017857142857;24.976785778428567;34.9675000898;21.236235142410074;12.701278372860514;0.6404622395833334;-0.7693142361111109;0.8035739181530601;0.6239849003113974;0.0;0.5357142857142857;0.10714285714285714;0.0;0.35714285714285715;41.234375;46.71875;ID_31823_20181110_104529;4
8;2018-11-10 04:06:31;45.54954147;-73.63354492;5;19.0;257.81684027777777;48.84950657894736;55.5;48.84950657894736;48.84473670157895;48.84473670157895;12.845869266303135;3.0670857926544697;0.17849392361111108;-0.13888888888888887;0.14820857609589738;0.037291330358593236;0.0;0.631578947368421;0.2631578947368421;0.0;0.10526315789473684;46.140625;55.5;ID_31823_20181110_104529;1
9;2018-11-10 04:06:50;45.55021667;-73.63050842;5;14.0;239.21440972222226;61.51227678571429;64.59375;61.51227678571429;45.053571429285725;45.053571429285725;6.136726571925608;2.6880672099016607;0.1804315476190476;0.0;0.08884676539537993;0.03988545197448192;0.0;0.8571428571428571;0.14285714285714285;0.0;0.0;56.5625;64.59375;ID_31823_20181110_104529;1
10;2018-11-10 04:07:04;45.55119705;-73.62789154;5;13.0;243.42881944444443;67.41105769230771;68.6875;67.41105769230771;35.576923077692314;35.576923077692314;4.934978084302473;1.31236644619655;0.10456123737373736;-0.021701388888888888;0.0672285178135103;0.011420182013443731;0.0;0.5384615384615384;0.4615384615384616;0.0;0.0;65.03125;68.578125;ID_31823_20181110_104529;5
11;2018-11-10 04:07:17;45.55251312;-73.62547302;5;13.0;253.56336805555543;70.21754807692308;72.09375;70.21754807692308;36.776922667692304;36.776922667692304;6.8690916446217365;1.050240655132869;0.08138020833333334;0.0;0.07072976414004127;0.010260919786473172;0.0;0.3076923076923077;0.6923076923076923;0.0;0.0;68.6875;72.09375;ID_31823_20181110_104529;5
12;2018-11-10 04:07:30;45.55389023;-73.62295532;5;13.0;263.1510416666667;72.87259615384616;73.765625;72.87259615384616;34.038461685384604;34.038461685384604;7.04619153542571;0.6288244367672482;0.05497685185185185;-0.0318287037037037;0.05047494682247579;0.003295202880163818;0.0;0.07692307692307693;0.9230769230769232;0.0;0.0;72.171875;73.53125;ID_31823_20181110_104529;5
13;2018-11-10 04:07:43;45.55514526;-73.62013245;5;12.0;244.36631944444443;73.30989583333333;73.640625;73.30989583333333;32.787500065;32.787500065;4.950074951787992;0.16303906072463029;0.03993055555555555;-0.028211805555555563;0.0399707786495809;0.0014709347069508745;0.0;0.0;1.0;0.0;0.0;73.328125;73.640625;ID_31823_20181110_104529;5
