Seg;DateTime;gps_Lat;gps_Long;DayOfWeek;T;S;V;V_m;V_r;FuelR;FuelR_r;FuelRate_std;V_std;Acc;Dcc;Acc_std;Acc_2;Idle_p;Acc_p;Cru_p;Cre_p;Dcc_p
0.0;2018-11-08 23:47:14;45.52101517;-73.66615295;3;5643.0;249.81770833333334;0.18353954081632654;23.71875;10.706473214285714;0.08337755137595919;3.854245299454717;0.819829592025076;1.6188698168826356;0.40666515700483097;-0.43540396341463417;0.07379858553875705;0.005445150200922384;0.9861775651249336;0.005847953216374269;0.000708842814105972;0.9868864079390395;0.006556796030480241
1.0;2018-11-09 01:21:17;45.52142334;-73.66693115;4;18620.0;249.76128472222229;1.3500609984984986;26.171875;5.727010350318471;2.8781531545385874;2.8868222905462337;1.9668262277733066;3.9665877730412955;0.2691482843137254;-0.3016203703703704;0.20417868952100038;0.041626489092173764;0.9933941997851772;0.002900107411385607;0.0;0.9946294307196563;0.0024704618689581096
2.0;2018-11-09 06:31:37;45.52156067;-73.66610718;4;69.0;242.88194444444443;12.672101449275363;35.640625;13.878968253968255;9.284057976608697;9.284057976608697;7.959324365759013;11.031421029008193;0.34580910852713176;-0.28955853174603174;0.397749727788602;0.17213710498929258;0.11594202898550725;0.5072463768115942;0.014492753623188406;0.2318840579710145;0.2463768115942029
3.0;2018-11-09 06:32:46;45.52127838;-73.66344452;4;32.0;249.90885416666669;28.11474609375;38.03125;28.11474609375;14.325000002937502;14.325000002937502;10.837092882344784;11.122336245363373;0.33688822751322745;-0.8191287878787878;0.7223375331978417;0.5091255093798225;0.0;0.28125;0.375;0.0;0.34375
4.0;2018-11-09 06:33:18;45.52039719;-73.66042328;4;25.0;246.44965277777771;35.48875;40.984375;35.48875;22.4220000836;22.4220000836;4.827634899427311;3.604122034285304;0.18914473684210523;-0.034722222222222224;0.13315955245896752;0.035737967785493825;0.0;0.6;0.4;0.0;0.0
5.0;2018-11-09 06:33:43;45.51955032;-73.65758514;4;31.0;252.34375;29.304435483870968;41.5;29.304435483870968;16.764516180096777;16.764516180096777;12.937272965253907;11.368973671927936;0.573459201388889;-0.6336805555555555;0.790921868816328;0.605491355613426;0.0;0.41935483870967744;0.16129032258064516;0.03225806451612903;0.3870967741935484
6.0;2018-11-09 06:34:14;45.51824188;-73.65627289;4;26.0;247.64756944444446;34.28966346153846;50.53125;34.28966346153846;19.015384734;19.015384734;12.794536200801438;10.969642263183037;0.5647183641975309;-0.8978949652777779;0.7956667237204326;0.6218883952750327;0.0;0.6923076923076923;0.038461538461538464;0.0;0.2692307692307692
7.0;2018-11-09 06:34:40;45.5161705;-73.65775299;4;18.0;254.23177083333337;50.846354166666664;53.40625;50.846354166666664;9.455555611111112;9.455555611111112;8.951090867214532;2.3606209580203363;0.15972222222222224;-0.17397280092592593;0.21669835107814672;0.04947803638599535;0.0;0.1111111111111111;0.5;0.0;0.3888888888888889
8.0;2018-11-09 06:34:58;45.51406097;-73.65921021;4;40.0;249.5920138888889;22.46328125;42.71875;22.46328125;8.211250016075;8.211250016075;9.475470971841379;9.757440191851348;0.4778874269005848;-0.5529513888888887;0.5673060182519726;0.3162384033203124;0.0;0.475;0.0;0.025;0.5
9.0;2018-11-09 06:35:38;45.51188278;-73.66051483;4;20.0;245.3472222222222;44.1625;52.203125;44.1625;21.65249984215;21.65249984215;13.349989754732707;4.2263041528933005;0.23514093137254904;-0.08825231481481481;0.15800418410860267;0.05854853877314814;0.0;0.7;0.25;0.0;0.05
10.0;2018-11-09 06:35:58;45.50989151;-73.66170502;4;16.0;257.1918402777777;57.8681640625;62.15625;57.8681640625;30.893749593687502;30.893749593687502;9.741900279249611;3.5932924017995984;0.1974826388888889;-0.04557291666666667;0.11814275442487662;0.04100799560546875;0.0;0.6875;0.3125;0.0;0.0
11.0;2018-11-09 06:36:14;45.50782776;-73.66299438;4;16.0;253.60243055555554;57.060546875;61.5;57.060546875;8.487499989562501;8.487499989562501;5.21189342809838;3.295588093027746;0.05497685185185185;-0.18028846153846154;0.17202600309984825;0.046287348240981865;0.0;0.0;0.5625;0.0;0.4375
12.0;2018-11-09 06:36:30;45.50567245;-73.66426849;4;17.0;241.3324652777778;51.10569852941177;55.25;51.10569852941177;6.8235294430058815;6.8235294430058815;5.942198702336702;4.475210888243762;0.12338789682539685;-0.3120659722222222;0.3347999620486855;0.12312302488993285;0.0;0.29411764705882354;0.4117647058823529;0.0;0.29411764705882354
13.0;2018-11-09 06:36:47;45.50378799;-73.66590881;4;17.0;250.28645833333334;53.001838235294116;55.296875;53.001838235294116;12.802941070294116;12.802941070294116;7.959731989290675;2.458008440125451;0.18344907407407407;-0.06510416666666666;0.15924382198499382;0.04764687088666485;0.0;0.47058823529411764;0.5294117647058824;0.0;0.0
14.0;2018-11-09 06:37:04;45.50207138;-73.66425323;4;16.0;259.2100694444445;58.322265625;64.578125;58.322265625;23.531249858925005;23.531249858925005;12.589901664533212;4.054571088566535;0.2360443376068376;-0.16348379629629628;0.19198800637417857;0.06051946569372106;0.0;0.75;0.125;0.0;0.125
15.0;2018-11-09 06:37:20;45.50004959;-73.66241455;4;12.0;246.36284722222223;73.90885416666667;79.53125;73.90885416666667;32.766666889166665;32.766666889166665;4.466864653724967;4.818030292272331;0.37760416666666674;0.0;0.13755232297394782;0.13715484995900848;0.0;0.9166666666666666;0.08333333333333333;0.0;0.0
16.0;2018-11-09 06:37:32;45.49855423;-73.66018677;4;11.0;237.59982638888889;77.75994318181819;79.3125;77.75994318181819;15.936363869636365;15.936363869636365;11.277302485861314;1.0149823141372263;0.078125;-0.16710069444444448;0.13316173878735924;0.026164284994037598;0.0;0.09090909090909091;0.36363636363636365;0.0;0.5454545454545454
17.0;2018-11-09 06:37:43;45.49715805;-73.65787506;4;15.0;265.06076388888886;63.614583333333336;74.1875;63.614583333333336;9.25000001592;9.25000001592;13.789877186502894;5.613811624233659;0.3211805555555556;-0.4577020202020201;0.38439840060470576;0.20041132169495884;0.0;0.26666666666666666;0.06666666666666667;0.0;0.6666666666666666
