Seg;DateTime;gps_Lat;gps_Long;DayOfWeek;T;S;V;V_m;V_r;FuelR;FuelR_r;FuelRate_std;V_std;Acc;Dcc;Acc_std;Acc_2;Idle_p;Acc_p;Cru_p;Cre_p;Dcc_p
0.0;2018-11-10 00:00:01;45.59649277;-73.53452301;5;373.0;248.06423611111103;2.394185656836461;34.8125;13.530776515151516;4.5499999745059005;4.637021831941806;5.371751305833527;6.670833981510081;0.5978454415954416;-0.47054597701149425;0.28282204440473574;0.08044598438973913;0.8418230563002681;0.09919571045576407;0.005361930294906166;0.8364611260053619;0.058981233243967826
1.0;2018-11-10 00:06:14;45.59648514;-73.53488159;5;104.0;251.29774305555557;8.698768028846153;42.8125;21.539806547619047;6.335096157569229;6.935263161970524;6.212143101215074;13.488724695565113;0.41015624999999994;-0.7147648358585857;0.49439258208643105;0.24622584793076324;0.625;0.16346153846153846;0.028846153846153848;0.6538461538461539;0.15384615384615385
2.0;2018-11-10 00:07:58;45.59706497;-73.53569031;5;27.0;244.51822916666663;32.60243055555556;49.0;32.60243055555556;18.44999996833333;18.44999996833333;8.38070122502335;13.546813540510632;0.39416152263374477;0.0;0.25978164718208774;0.2203503099815672;0.0;0.8148148148148148;0.1111111111111111;0.07407407407407407;0.0
3.0;2018-11-10 00:08:25;45.59599686;-73.53343201;5;36.0;251.70572916666666;25.170572916666668;49.0625;25.170572916666668;9.588888863777777;13.276923042153847;10.410572295602982;16.625656780377316;0.7803199404761905;-0.6190814393939393;0.8024303026834254;0.6316139210725845;0.05555555555555555;0.3611111111111111;0.08333333333333333;0.027777777777777776;0.5277777777777778
4.0;2018-11-10 00:09:01;45.59505081;-73.53045654;5;24.0;246.3758680555555;36.956380208333336;41.71875;36.956380208333336;5.731249923833334;10.580769090153847;7.935032421568109;3.189786913942304;0.3012152777777778;-0.287078373015873;0.3610360435995606;0.1266762062355324;0.0;0.3333333333333333;0.25;0.0;0.4166666666666667
5.0;2018-11-10 00:09:25;45.59416199;-73.52760315;5;52.0;254.33159722222217;17.607572115384617;36.109375;20.808948863636363;9.562499954365382;13.81249993408333;12.050579090143861;12.156484169485731;0.8781067251461989;-0.7839209401709399;0.8967777455628272;0.7938019117625239;0.19230769230769232;0.36538461538461536;0.038461538461538464;0.15384615384615385;0.4423076923076923
6.0;2018-11-10 00:10:17;45.59326935;-73.52449036;5;25.0;251.05468749999994;36.151875;42.15625;36.151875;11.95199996052;19.9199999342;15.271054318650194;4.214034594673399;0.7310956790123455;-0.3301323784722222;0.6069169922287978;0.3563089252989969;0.0;0.36;0.12;0.0;0.52
7.0;2018-11-10 00:10:42;45.59526443;-73.52335358;5;52.0;250.49913194444443;17.342247596153847;40.390625;27.32717803030303;9.93461534628846;10.33199996014;7.62058315994226;17.120860188335623;0.5135337752525252;-0.6904987373737373;0.6184913060735623;0.3802441690269246;0.38461538461538464;0.36538461538461536;0.15384615384615385;0.36538461538461536;0.11538461538461539
8.0;2018-11-10 00:11:34;45.59727478;-73.52223969;5;39.0;243.4027777777778;22.46794871794872;40.140625;26.553030303030305;8.652564082641026;10.225757552212121;9.82681589326642;15.435515512728507;0.8311631944444444;-0.4752604166666667;0.748516602016228;0.5522073164285077;0.1794871794871795;0.23076923076923078;0.28205128205128205;0.15384615384615385;0.3333333333333333
9.0;2018-11-10 00:12:13;45.59930801;-73.52110291;5;23.0;250.8246527777778;39.25951086956522;41.1875;39.25951086956522;11.495652209130435;11.495652209130435;9.35740970412884;1.9444736755421714;0.3042140151515152;-0.06076388888888889;0.292067762413736;0.09454306389014691;0.0;0.2608695652173913;0.6956521739130435;0.0;0.043478260869565216
10.0;2018-11-10 00:12:36;45.60136032;-73.51988983;5;25.0;249.12326388888889;35.87375;41.875;35.87375;11.17799985932;17.4656247801875;13.047956890533436;4.485418178607115;0.45789930555555547;-0.30960648148148145;0.483575900852813;0.22449860749421294;0.0;0.32;0.28;0.0;0.4
11.0;2018-11-10 00:13:01;45.60336685;-73.51870728;5;43.0;254.14496527777774;21.277252906976745;36.796875;24.727618243243242;8.149999949737209;10.951562432459374;9.638989432997489;13.556753883516892;0.6629050925925924;-0.5989583333333334;0.7347828162205513;0.5352934783401071;0.16279069767441862;0.3023255813953488;0.06976744186046512;0.13953488372093023;0.4883720930232558
12.0;2018-11-10 00:13:44;45.6055603;-73.51738739;5;47.0;247.9730902777778;18.9936835106383;38.828125;23.4921875;9.192553198102127;9.601111118017778;6.66450671178066;14.233249169333721;0.4902541035353535;-0.405688316993464;0.5299247134965245;0.281691595046953;0.2127659574468085;0.425531914893617;0.10638297872340426;0.19148936170212766;0.2765957446808511
13.0;2018-11-10 00:14:31;45.60751724;-73.51659393;5;24.0;248.64149305555557;37.296223958333336;38.75;37.296223958333336;5.8395833325416655;5.8395833325416655;2.4665580057205774;0.7876164397863312;0.0501104797979798;-0.09281517094017094;0.088750840456639;0.008294219342769417;0.0;0.041666666666666664;0.7083333333333334;0.0;0.25
14.0;2018-11-10 00:14:55;45.60966492;-73.51557159;5;44.0;257.32204861111114;21.05362215909091;35.640625;24.377878289473685;7.914772708409089;10.882812474062497;8.717188135204424;12.95891701239251;0.6098090277777777;-0.659130366161616;0.7475323275949963;0.5577288626554168;0.18181818181818182;0.29545454545454547;0.11363636363636363;0.1590909090909091;0.4318181818181818
15.0;2018-11-10 00:15:39;45.61183929;-73.514534;5;39.0;245.88541666666663;22.697115384615383;35.078125;22.697115384615383;9.934615268541027;13.360344671486208;9.511489830296656;9.790850062945816;0.6141493055555555;-0.6832107843137254;0.7805105207034675;0.5959414499928278;0.0;0.5384615384615384;0.05128205128205128;0.02564102564102564;0.38461538461538464
