Seg;DateTime;gps_Lat;gps_Long;DayOfWeek;T;S;V;V_m;V_r;FuelR;FuelR_r;FuelRate_std;V_std;Acc;Dcc;Acc_std;Acc_2;Idle_p;Acc_p;Cru_p;Cre_p;Dcc_p
0.0;2018-11-10 10:56:53;45.61821365;-73.60727692;5;175.0;243.83680555555551;5.016071428571428;41.09375;18.67686170212766;8.60742859010857;8.860588254523527;10.952087521533713;10.850842362839614;0.5867775537634409;-0.4733455882352941;0.3372915180569038;0.11647499259397046;0.7657142857142857;0.16;0.011428571428571429;0.76;0.06857142857142857
1.0;2018-11-10 10:59:48;45.6167984;-73.60755157;5;31.0;252.58246527777777;29.332157258064516;40.6875;29.332157258064516;21.30806467835161;26.422000201155996;16.856789653246025;11.367288600453852;0.5359100877192983;-0.7736545138888888;0.7750383095695357;0.5821474136844756;0.0;0.5806451612903226;0.06451612903225806;0.0;0.3548387096774194
2.0;2018-11-10 11:00:19;45.61552429;-73.61016846;5;48.0;249.56597222222217;18.717447916666668;46.15625;24.282094594594593;15.478125135291672;18.120731865707324;15.251909417066951;16.80688696335003;0.5430772569444443;-0.8038814484126984;0.7343885998550123;0.5294650670432258;0.2916666666666667;0.4375;0.08333333333333333;0.25;0.22916666666666666
3.0;2018-11-10 11:01:07;45.61511612;-73.61255646;5;52.0;251.71440972222223;17.42638221153846;47.703125;23.846628289473685;7.189423096590385;8.496590932334092;7.020979331729945;19.10625436371334;0.5315170940170941;-0.5759709362139918;0.6737541139511182;0.4728315449394958;0.34615384615384615;0.21153846153846154;0.11538461538461539;0.28846153846153844;0.38461538461538464
4.0;2018-11-10 11:01:59;45.61702347;-73.61466217;5;53.0;251.35850694444449;17.073408018867923;36.65625;20.108680555555555;17.274528422566036;21.798809676095235;17.734770502793264;13.641895215533845;0.7677083333333331;-0.8867976641414143;0.9513338975577702;0.8879957681154272;0.24528301886792453;0.41509433962264153;0.018867924528301886;0.20754716981132076;0.3584905660377358
5.0;2018-11-10 11:02:52;45.61598587;-73.61724854;5;44.0;245.29513888888894;20.069602272727273;34.703125;23.866554054054053;14.327272653431816;18.011428478599996;14.147106842963701;13.056079190753529;0.6944444444444444;-0.6333912037037036;0.7383150194050536;0.549958183040255;0.18181818181818182;0.45454545454545453;0.13636363636363635;0.1590909090909091;0.25
6.0;2018-11-10 11:03:36;45.61476517;-73.61962128;5;48.0;250.4123263888889;18.780924479166668;37.78125;20.964752906976745;13.510416592208335;20.919354723419357;16.339919565756897;12.373973019785307;0.814670138888889;-0.7423683449074073;0.8629709222577779;0.730211155895343;0.14583333333333334;0.3958333333333333;0.0;0.125;0.4791666666666667
7.0;2018-11-10 11:04:24;45.61338806;-73.6222229;5;40.0;254.8046875;22.932421875;36.0625;22.932421875;9.457500045027501;15.132000072044002;11.541766836792439;10.96272125685584;0.4697712418300654;-0.529513888888889;0.5996132507749322;0.36153440122251157;0.0;0.3;0.175;0.025;0.5
8.0;2018-11-10 11:05:04;45.61199188;-73.6248703;5;27.0;250.25173611111106;33.366898148148145;42.84375;33.366898148148145;30.29814819077778;30.29814819077778;8.786752155914755;9.190501629768383;0.346844806763285;-0.11935763888888888;0.25159792110374724;0.13811750721593505;0.0;0.8148148148148148;0.1111111111111111;0.0;0.07407407407407407
9.0;2018-11-10 11:05:31;45.61028671;-73.62387085;5;27.0;241.92274305555557;32.25636574074074;41.125;32.25636574074074;26.990740457407405;33.12499965227273;18.786303203804685;8.532411404879781;0.6166533119658119;-0.5726066468253969;0.8161045153827081;0.6413589289158951;0.0;0.4444444444444444;0.07407407407407407;0.0;0.48148148148148145
10.0;2018-11-10 11:05:58;45.60855484;-73.62210846;5;190.0;250.6640624999999;4.7494243421052635;41.6875;13.882932692307692;7.062368429011054;7.581073454870624;8.952734137638506;9.708982539883952;0.681423611111111;-0.6464788105413106;0.48598706198659725;0.23557061882589145;0.7052631578947368;0.14210526315789473;0.005263157894736842;0.6842105263157895;0.16842105263157894
11.0;2018-11-10 11:09:08;45.60674286;-73.62042999;5;60.0;254.3229166666666;15.259375;51.3125;29.534274193548388;12.321666538516672;15.087754945122455;16.56192106352013;19.49913189682743;0.6957209967320261;-0.9502314814814815;0.681515438916627;0.45835738319428376;0.5166666666666667;0.25;0.016666666666666666;0.5;0.23333333333333334
12.0;2018-11-10 11:10:08;45.60565186;-73.6232605;5;34.0;252.95572916666669;26.78354779411765;36.4375;26.78354779411765;16.132353016561765;27.425000128155;18.705301816774604;5.606274244737844;0.617525077160494;-0.5769856770833333;0.7356056410908799;0.5282699152794798;0.0;0.47058823529411764;0.11764705882352941;0.0;0.4117647058823529
13.0;2018-11-10 11:10:42;45.60467529;-73.62609863;5;67.0;247.7517361111111;13.312033582089553;42.484375;24.77517361111111;14.670149221176121;16.659321996928814;18.254762868712117;16.320093711848997;0.729363952020202;-0.7468377976190476;0.6258008768325124;0.39274329218346915;0.4925373134328358;0.29850746268656714;0.04477611940298507;0.47761194029850745;0.1791044776119403
14.0;2018-11-10 11:11:49;45.60375595;-73.62880707;5;103.0;251.97916666666666;8.807038834951456;42.3125;23.87171052631579;9.208737887359224;10.538888915533335;13.194977314865683;14.715459006940131;0.6845582561728395;-1.0661300505050506;0.6795434594680817;0.4689785069046468;0.6699029126213593;0.1553398058252427;0.02912621359223301;0.6504854368932039;0.1650485436893204
