Seg;DateTime;gps_Lat;gps_Long;DayOfWeek;T;S;V;V_m;V_r;FuelR;FuelR_r;FuelRate_std;V_std;Acc;Dcc;Acc_2;Idle_p;Acc_p;Cru_p;Cre_p;Dcc_p
0.0;2020-07-17 10:22:01;45.50384333;-73.61361833;4;106.0;246.80555555555554;8.46190476190476;33.6;17.086538461538456;0.581095238095238;0.581095238095238;0.5712759760767915;10.161355725647548;2.2000000000000006;-2.55;3.116571428571429;0.5094339622641509;0.4528301886792453;0.02830188679245283;0.5188679245283019;0.0
1.0;2020-07-17 10:23:47;45.501104999999995;-73.61390667;4;43.0;249.61111111111114;20.897674418604648;29.8;20.897674418604648;0.6567441860465116;0.6567441860465116;0.7266474580146847;6.70058591510911;2.4526315789473685;-1.6823529411764704;4.44093023255814;0.0;0.8372093023255814;0.16279069767441862;0.0;0.0
2.0;2020-07-17 10:24:30;45.49814667;-73.61644333;4;109.0;251.83333333333334;8.17037037037037;31.7;16.34074074074074;0.44203703703703684;0.44203703703703684;0.4760301358151844;10.62711449446021;2.972222222222222;-1.932142857142857;3.1857407407407408;0.4954128440366973;0.43119266055045874;0.06422018348623854;0.5045871559633027;0.0
3.0;2020-07-17 10:26:19;45.49520833;-73.61897167;4;27.0;247.88888888888894;33.05185185185186;36.7;33.05185185185186;1.028148148148148;1.028148148148148;0.5592253367006695;2.7127009490075467;1.0833333333333333;-0.8333333333333334;0.7311111111111109;0.0;0.6666666666666666;0.3333333333333333;0.0;0.0
4.0;2020-07-17 10:26:46;45.49212667;-73.62164167;4;54.0;246.74999999999997;16.45;36.7;23.376315789473683;0.6266666666666665;0.6266666666666665;0.5767369172318634;14.389995869772703;2.8200000000000007;-2.741176470588235;5.520555555555557;0.2962962962962963;0.5925925925925926;0.09259259259259259;0.3148148148148148;0.0
5.0;2020-07-17 10:27:40;45.48919;-73.62430167;4;26.0;255.94444444444446;35.43846153846154;39.8;35.43846153846154;0.5346153846153846;0.5346153846153846;0.35601101970844407;4.8192179384690155;1.2374999999999998;-1.49;1.7107692307692306;0.0;0.6923076923076923;0.3076923076923077;0.0;0.0
6.0;2020-07-17 10:28:06;45.48611333;-73.62705667;4;99.0;245.22222222222229;8.917171717171716;33.6;13.375757575757573;0.4986363636363634;0.4986363636363634;0.49849867366301465;9.739620748640842;2.2892857142857146;-2.144827586206897;3.782727272727276;0.3333333333333333;0.5757575757575758;0.020202020202020204;0.40404040404040403;0.0
7.0;2020-07-17 10:29:45;45.48422333;-73.63003833;4;56.0;249.38888888888889;16.032142857142855;31.1;20.87906976744186;0.513482142857143;0.513482142857143;0.4271394488527532;11.953973962933562;2.2333333333333334;-1.5666666666666667;2.798571428571429;0.23214285714285715;0.6428571428571429;0.125;0.23214285714285715;0.0
8.0;2020-07-17 10:30:41;45.486129999999996;-73.63428667;4;24.0;254.24999999999994;38.137499999999996;42.9;38.137499999999996;0.7120833333333332;0.7120833333333332;0.43122655365794693;3.966579130686801;1.207142857142857;-1.02;1.299166666666667;0.0;0.7916666666666666;0.20833333333333334;0.0;0.0
9.0;2020-07-17 10:31:05;45.48804167;-73.63875167;4;21.0;248.55555555555554;42.60952380952382;47.2;42.60952380952382;0.9404761904761904;0.9404761904761904;0.33758667317410784;2.3716881670879024;1.0444444444444443;-0.8;0.6428571428571429;0.0;0.6190476190476191;0.38095238095238093;0.0;0.0
10.0;2020-07-17 10:31:26;45.48993667;-73.64307833;4;18.0;246.9444444444444;49.388888888888886;53.4;49.388888888888886;1.3108333333333337;1.3108333333333337;0.5312201548710067;2.746739005329541;1.15;-0.6;0.9011111111111111;0.0;0.7777777777777778;0.2222222222222222;0.0;0.0
11.0;2020-07-17 10:31:44;45.49183667;-73.64734167;4;20.0;254.5833333333333;45.825;52.2;45.825;0.569;0.569;0.41871859662295247;7.6451481001798935;1.2;-1.9749999999999996;6.393;0.0;0.9;0.1;0.0;0.0
12.0;2020-07-17 10:32:04;45.49374167;-73.65135167;4;76.0;246.47222222222226;11.675;31.7;12.49718309859155;0.7006578947368418;0.7006578947368418;0.6282480094703912;7.850352433702154;2.1911764705882355;-2.161290322580645;5.554605263157898;0.06578947368421052;0.8552631578947368;0.013157894736842105;0.13157894736842105;0.0
13.0;2020-07-17 10:33:20;45.4963;-73.65067167;4;45.0;249.88888888888883;20.03636363636364;31.1;20.990476190476194;0.5205681818181819;0.5205681818181819;0.3680735769297039;9.74810872316507;2.0615384615384618;-1.5318181818181815;3.7943181818181824;0.044444444444444446;0.8;0.13333333333333333;0.06666666666666667;0.0
14.0;2020-07-17 10:34:05;45.49916667;-73.64778167;4;66.0;255.36111111111111;13.92878787878788;31.1;17.678846153846155;0.5280303030303027;0.5280303030303027;0.47229136931468213;10.396637994326898;2.044444444444445;-1.7440000000000004;3.350606060606062;0.21212121212121213;0.6515151515151515;0.045454545454545456;0.30303030303030304;0.0
15.0;2020-07-17 10:35:11;45.50218667;-73.64504000000001;4;461.0;245.50000000000003;10.276744186046514;29.2;11.47792207792208;0.608313953488372;0.608313953488372;0.6447300440380941;8.823133689256624;2.2400000000000007;-1.6542857142857144;3.8305813953488372;0.8329718004338394;0.9501084598698482;0.008676789587852495;0.04121475054229935;0.0
16.0;2020-07-17 10:42:52;45.50483667;-73.6426;4;24.0;245.05555555555554;36.75833333333333;41.6;36.75833333333333;1.1395833333333332;1.1395833333333332;0.4427039364658042;3.48186814757559;1.3916666666666666;-0.6142857142857142;1.3175;0.0;0.7916666666666666;0.20833333333333334;0.0;0.0
17.0;2020-07-17 10:43:16;45.50710833;-73.63879667;4;87.0;259.02777777777777;10.698837209302322;38.5;15.594915254237282;0.37505813953488365;0.37505813953488365;0.3249891348283785;10.748871286145754;2.011764705882353;-1.9218749999999998;2.7866279069767455;0.3103448275862069;0.5747126436781609;0.011494252873563218;0.41379310344827586;0.0
18.0;2020-07-17 10:44:43;45.50918667;-73.63969833;4;47.0;244.69444444444446;18.973913043478262;30.4;18.973913043478262;0.871086956521739;0.871086956521739;0.6855443198603235;6.960601340005957;2.347826086956522;-1.8900000000000001;5.616086956521742;0.0;0.9361702127659575;0.06382978723404255;0.0;0.0
19.0;2020-07-17 10:45:30;45.510684999999995;-73.64284;4;45.0;253.77777777777771;20.302222222222223;32.3;20.302222222222223;0.885;0.885;0.75592207390589;8.913995351766408;2.4809523809523815;-2.4809523809523815;7.239555555555557;0.0;0.9333333333333333;0.06666666666666667;0.0;0.0
20.0;2020-07-17 10:46:15;45.514305;-73.64318833;4;43.0;251.11111111111114;21.412195121951218;31.1;21.412195121951218;0.7558536585365851;0.7558536585365851;0.5049256163523302;6.562209807753453;1.9352941176470588;-1.90625;4.746341463414636;0.0;0.813953488372093;0.16279069767441862;0.023255813953488372;0.0
21.0;2020-07-17 10:46:58;45.51699667;-73.64050333;4;35.0;247.88888888888897;25.497142857142858;32.9;25.497142857142858;0.8528571428571426;0.8528571428571426;0.6605860652328597;8.184112504052692;2.1;-1.6624999999999999;3.892857142857143;0.0;0.8285714285714286;0.17142857142857143;0.0;0.0
22.0;2020-07-17 10:47:33;45.51834167;-73.63584499999999;4;38.0;250.33333333333326;23.715789473684207;32.9;23.715789473684207;0.594342105263158;0.594342105263158;0.39244929273527945;7.582680347461447;1.6555555555555557;-2.042857142857143;3.1655263157894735;0.0;0.6052631578947368;0.2631578947368421;0.13157894736842105;0.0
23.0;2020-07-17 10:48:11;45.51871833;-73.63151833;4;86.0;244.19444444444443;10.222093023255814;32.3;19.110869565217392;0.554186046511628;0.554186046511628;0.576834597796261;11.689204684492045;2.2863636363636366;-1.77;2.6050000000000004;0.46511627906976744;0.4883720930232558;0.046511627906976744;0.46511627906976744;0.0
24.0;2020-07-17 10:49:37;45.51998833;-73.62829167;4;25.0;249.63888888888894;35.948;38.5;35.948;0.6691999999999999;0.6691999999999999;0.3047392327876409;1.569267344973442;1.175;-0.8333333333333334;0.7707999999999999;0.0;0.68;0.32;0.0;0.0
25.0;2020-07-17 10:50:02;45.523295000000005;-73.62635;4;48.0;259.25;19.443749999999998;33.6;21.211363636363636;0.5658333333333335;0.5658333333333335;0.5590763025354746;10.278316491216698;2.257142857142857;-1.4857142857142862;3.8633333333333364;0.08333333333333333;0.875;0.041666666666666664;0.08333333333333333;0.0
26.0;2020-07-17 10:50:50;45.52664167;-73.624445;4;118.0;248.3333333333334;7.641025641025637;23.6;11.037037037037031;0.3445299145299148;0.3445299145299148;0.32422718654356875;7.718206798238266;2.352173913043479;-1.5212765957446812;2.485982905982908;0.3135593220338983;0.5932203389830508;0.00847457627118644;0.3983050847457627;0.0
27.0;2020-07-17 10:52:48;45.52903833;-73.62519499999999;4;44.0;249.86111111111106;20.558139534883722;28.0;20.558139534883722;0.6484883720930232;0.6484883720930232;0.3665598354386506;5.093844677560758;1.4869565217391305;-1.2;2.1562790697674408;0.0;0.8636363636363636;0.11363636363636363;0.022727272727272728;0.0
28.0;2020-07-17 10:53:32;45.53042833;-73.63001667;4;39.0;249.83333333333334;23.061538461538465;28.0;23.061538461538465;0.3885897435897435;0.3885897435897435;0.30304365830587215;3.8213813556863236;1.0444444444444445;-0.9739130434782607;1.1353846153846152;0.0;0.8205128205128205;0.15384615384615385;0.02564102564102564;0.0
